"Cittadinanza (singolo paese)";"NIL (Nuclei di Identità Locale)";"Residenti"
"Egitto";"Porta Magenta (51)";89
"Egitto";"Bande Nere (52)";640
"Egitto";"Lorenteggio (53)";420
"Egitto";"Muggiano (54)";22
"Egitto";"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";1259
"Egitto";"Forze Armate (56)";960
"Egitto";"San Siro (57)";3902
"Egitto";"De Angeli - Monte Rosa (58)";96
"Egitto";"Tre Torri (59)";1
"Egitto";"Stadio - Ippodromi (60)";157
"Egitto";"Quarto Cagnino (61)";291
"Egitto";"Quinto Romano (62)";202
"Egitto";"Figino (63)";142
"Egitto";"Trenno (64)";27
"Egitto";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";440
"Egitto";"QT 8 (66)";28
"Egitto";"Portello (67)";36
"Egitto";"Pagano (68)";40
"Egitto";"Sarpi (69)";133
"Egitto";"Ghisolfa (70)";348
"Egitto";"Villapizzone - Cagnola - Boldinasco (71)";1944
"Egitto";"Maggiore - Musocco - Certosa (72)";187
"Egitto";"Cascina Merlata (73)";13
"Egitto";"Roserio (74)";9
"Egitto";"Quarto Oggiaro - Vialba - Musocco (76)";1962
"Egitto";"Bovisa (77)";987
"Egitto";"Farini (78)";335
"Egitto";"Dergano (79)";1940
"Egitto";"Affori (80)";1284
"Egitto";"Bovisasca (81)";287
"Egitto";"Comasina (82)";558
"Egitto";"Bruzzano (83)";490
"Egitto";"Parco Nord (84)";4
"Egitto";"Parco delle Abbazie (85)";20
"Egitto";"Parco dei Navigli (86)";24
"Egitto";"Parco Bosco in citta' (88)";9
"Etiopia";"Duomo (1)";2
"Etiopia";"Brera (2)";13
"Etiopia";"Guastalla (4)";1
"Etiopia";"Porta Ticinese - Conca del Naviglio (6)";6
"Etiopia";"Magenta - S.Vittore (7)";1
"Etiopia";"Porta Garibaldi - Porta Nuova (9)";1
"Etiopia";"Stazione Centrale - Ponte Seveso (10)";10
"Etiopia";"Isola (11)";4
"Etiopia";"Maciachini - Maggiolina (12)";6
"Etiopia";"Greco - Segnano (13)";9
"Etiopia";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";13
"Etiopia";"Bicocca (15)";2
"Etiopia";"Gorla - Precotto (16)";13
"Etiopia";"Adriano (17)";25
"Etiopia";"Cimiano - Rottole - Q.re Feltre (18)";1
"Etiopia";"Padova - Turro - Crescenzago (19)";30
"Etiopia";"Loreto - Casoretto - NoLo (20)";19
"Etiopia";"Buenos Aires - Porta Venezia - Porta Monforte (21)";22
"Etiopia";"Citta' studi (22)";18
"Etiopia";"Lambrate - Ortica (23)";2
"Etiopia";"Parco Forlanini - Cavriano (24)";3
"Etiopia";"Corsica (25)";8
"Etiopia";"XXII Marzo (26)";9
"Etiopia";"Pta Romana (27)";1
"Etiopia";"Umbria - Molise - Calvairate (28)";25
"Etiopia";"Ortomercato (29)";1
"Etiopia";"Taliedo - Morsenchio - Q.re Forlanini (30)";11
"Etiopia";"Monlue' - Ponte Lambro (31)";1
"Etiopia";"Triulzo Superiore (32)";1
"Etiopia";"Rogoredo - Santa Giulia (33)";6
"Etiopia";"Lodi - Corvetto (35)";28
"Etiopia";"Scalo Romana (36)";9
"Etiopia";"Vigentino - Q.re Fatima (38)";6
"Etiopia";"Quintosole (39)";4
"Etiopia";"Ronchetto delle Rane (40)";1
"Etiopia";"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";10
"Etiopia";"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";20
"Etiopia";"Tibaldi (43)";6
"Etiopia";"Porta Ticinese - Conchetta (44)";2
"Etiopia";"Moncucco - San Cristoforo (45)";12
"Etiopia";"Barona (46)";5
"Etiopia";"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";4
"Etiopia";"Giambellino (49)";16
"Etiopia";"Porta Genova (50)";2
"Etiopia";"Porta Magenta (51)";4
"Etiopia";"Bande Nere (52)";4
"Etiopia";"Lorenteggio (53)";3
"Etiopia";"Muggiano (54)";3
"Etiopia";"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";24
"Etiopia";"Forze Armate (56)";25
"Etiopia";"San Siro (57)";37
"Etiopia";"De Angeli - Monte Rosa (58)";4
"Etiopia";"Stadio - Ippodromi (60)";2
"Etiopia";"Quarto Cagnino (61)";2
"Etiopia";"Trenno (64)";1
"Etiopia";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";14
"Etiopia";"Pagano (68)";3
"Etiopia";"Sarpi (69)";9
"Etiopia";"Ghisolfa (70)";6
"Etiopia";"Villapizzone - Cagnola - Boldinasco (71)";20
"Etiopia";"Maggiore - Musocco - Certosa (72)";5
"Etiopia";"Quarto Oggiaro - Vialba - Musocco (76)";18
"Etiopia";"Bovisa (77)";6
"Etiopia";"Dergano (79)";13
"Etiopia";"Affori (80)";3
"Etiopia";"Bovisasca (81)";1
"Etiopia";"Comasina (82)";2
"Etiopia";"Bruzzano (83)";10
"Gabon";"Brera (2)";1
"Gabon";"Greco - Segnano (13)";1
"Gabon";"Loreto - Casoretto - NoLo (20)";1
"Gabon";"Buenos Aires - Porta Venezia - Porta Monforte (21)";1
"Gabon";"Citta' studi (22)";1
"Gabon";"Pta Romana (27)";1
"Gabon";"Taliedo - Morsenchio - Q.re Forlanini (30)";1
"Gabon";"Forze Armate (56)";1
"Gabon";"San Siro (57)";1
"Gabon";"Portello (67)";2
"Gambia";"Brera (2)";15
"Gambia";"Porta Vigentina - Porta Lodovica (5)";1
"Gambia";"Porta Ticinese - Conca del Naviglio (6)";17
"Gambia";"Magenta - S.Vittore (7)";8
"Gambia";"Isola (11)";3
"Gambia";"Maciachini - Maggiolina (12)";6
"Gambia";"Greco - Segnano (13)";11
"Gambia";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";9
"Gambia";"Bicocca (15)";7
"Gambia";"Gorla - Precotto (16)";11
"Gambia";"Adriano (17)";44
"Gambia";"Cimiano - Rottole - Q.re Feltre (18)";7
"Gambia";"Padova - Turro - Crescenzago (19)";13
"Gambia";"Loreto - Casoretto - NoLo (20)";11
"Gambia";"Buenos Aires - Porta Venezia - Porta Monforte (21)";13
"Gambia";"Citta' studi (22)";3
"Gambia";"Lambrate - Ortica (23)";1
"Gambia";"Parco Forlanini - Cavriano (24)";43
"Gambia";"Corsica (25)";1
"Gambia";"XXII Marzo (26)";4
"Gambia";"Pta Romana (27)";6
"Gambia";"Umbria - Molise - Calvairate (28)";13
"Gambia";"Ortomercato (29)";5
"Gambia";"Monlue' - Ponte Lambro (31)";22
"Gambia";"Rogoredo - Santa Giulia (33)";6
"Gambia";"Chiaravalle (34)";1
"Gambia";"Lodi - Corvetto (35)";25
"Gambia";"Scalo Romana (36)";20
"Gambia";"Morivione (37)";2
"Gambia";"Vigentino - Q.re Fatima (38)";4
"Gambia";"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";9
"Gambia";"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";7
"Gambia";"Moncucco - San Cristoforo (45)";11
"Gambia";"Barona (46)";3
"Gambia";"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";2
"Gambia";"Giambellino (49)";4
"Gambia";"Porta Genova (50)";1
"Gambia";"Porta Magenta (51)";1
"Gambia";"Bande Nere (52)";6
"Gambia";"Muggiano (54)";2
"Gambia";"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";4
"Gambia";"Forze Armate (56)";14
"Gambia";"San Siro (57)";4
"Gambia";"De Angeli - Monte Rosa (58)";1
"Gambia";"Stadio - Ippodromi (60)";1
"Gambia";"Figino (63)";1
"Gambia";"Trenno (64)";2
"Gambia";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";16
"Gambia";"Portello (67)";2
"Gambia";"Sarpi (69)";1
"Gambia";"Ghisolfa (70)";7
"Gambia";"Villapizzone - Cagnola - Boldinasco (71)";34
"Gambia";"Maggiore - Musocco - Certosa (72)";1
"Gambia";"Cascina Merlata (73)";3
"Gambia";"Quarto Oggiaro - Vialba - Musocco (76)";26
"Gambia";"Bovisa (77)";10
"Gambia";"Farini (78)";1
"Gambia";"Dergano (79)";15
"Gambia";"Affori (80)";20
"Gambia";"Comasina (82)";2
"Gambia";"Bruzzano (83)";5
"Ghana";"Duomo (1)";1
"Ghana";"Brera (2)";6
"Ghana";"Porta Ticinese - Conca del Naviglio (6)";4
"Ghana";"Magenta - S.Vittore (7)";1
"Ghana";"Stazione Centrale - Ponte Seveso (10)";2
"Ghana";"Isola (11)";1
"Ghana";"Maciachini - Maggiolina (12)";4
"Ghana";"Greco - Segnano (13)";2
"Ghana";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";2
"Ghana";"Bicocca (15)";5
"Ghana";"Gorla - Precotto (16)";4
"Ghana";"Adriano (17)";11
"Ghana";"Cimiano - Rottole - Q.re Feltre (18)";3
"Ghana";"Padova - Turro - Crescenzago (19)";10
"Ghana";"Loreto - Casoretto - NoLo (20)";4
"Ghana";"Buenos Aires - Porta Venezia - Porta Monforte (21)";5
"Ghana";"Citta' studi (22)";5
"Ghana";"Lambrate - Ortica (23)";1
"Ghana";"Parco Forlanini - Cavriano (24)";48
"Ghana";"Corsica (25)";1
"Ghana";"Pta Romana (27)";1
"Ghana";"Umbria - Molise - Calvairate (28)";6
"Ghana";"Taliedo - Morsenchio - Q.re Forlanini (30)";8
"Ghana";"Monlue' - Ponte Lambro (31)";9
"Ghana";"Rogoredo - Santa Giulia (33)";9
"Ghana";"Chiaravalle (34)";1
"Ghana";"Lodi - Corvetto (35)";11
"Ghana";"Scalo Romana (36)";10
"Ghana";"Morivione (37)";1
"Ghana";"Vigentino - Q.re Fatima (38)";3
"Ghana";"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";3
"Ghana";"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";5
"Ghana";"Porta Ticinese - Conchetta (44)";2
"Ghana";"Moncucco - San Cristoforo (45)";1
"Ghana";"Barona (46)";2
"Ghana";"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";1
"Ghana";"Giambellino (49)";3
"Ghana";"Porta Genova (50)";1
"Ghana";"Porta Magenta (51)";1
"Ghana";"Bande Nere (52)";5
"Ghana";"Lorenteggio (53)";2
"Ghana";"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";4
"Ghana";"Forze Armate (56)";8
"Ghana";"San Siro (57)";5
"Ghana";"Stadio - Ippodromi (60)";5
"Ghana";"Figino (63)";3
"Ghana";"Trenno (64)";3
"Ghana";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";14
"Ghana";"QT 8 (66)";1
"Ghana";"Ghisolfa (70)";4
"Ghana";"Villapizzone - Cagnola - Boldinasco (71)";6
"Ghana";"Maggiore - Musocco - Certosa (72)";3
"Ghana";"Cascina Merlata (73)";4
"Ghana";"Quarto Oggiaro - Vialba - Musocco (76)";7
"Ghana";"Bovisa (77)";2
"Ghana";"Dergano (79)";3
"Ghana";"Affori (80)";2
"Ghana";"Comasina (82)";1
"Ghana";"Bruzzano (83)";1
"Gibuti";"Lodi - Corvetto (35)";1
"Guinea";"Brera (2)";4
"Guinea";"Guastalla (4)";1
"Guinea";"Porta Ticinese - Conca del Naviglio (6)";6
"Guinea";"Magenta - S.Vittore (7)";13
"Guinea";"Isola (11)";1
"Guinea";"Maciachini - Maggiolina (12)";4
"Guinea";"Greco - Segnano (13)";5
"Guinea";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";1
"Guinea";"Bicocca (15)";2
"Guinea";"Adriano (17)";32
"Guinea";"Cimiano - Rottole - Q.re Feltre (18)";2
"Guinea";"Padova - Turro - Crescenzago (19)";16
"Guinea";"Loreto - Casoretto - NoLo (20)";9
"Guinea";"Buenos Aires - Porta Venezia - Porta Monforte (21)";6
"Guinea";"Citta' studi (22)";2
"Guinea";"Lambrate - Ortica (23)";2
"Guinea";"Parco Forlanini - Cavriano (24)";66
"Guinea";"Corsica (25)";1
"Guinea";"XXII Marzo (26)";1
"Guinea";"Umbria - Molise - Calvairate (28)";1
"Guinea";"Taliedo - Morsenchio - Q.re Forlanini (30)";3
"Guinea";"Monlue' - Ponte Lambro (31)";15
"Guinea";"Rogoredo - Santa Giulia (33)";5
"Guinea";"Lodi - Corvetto (35)";8
"Guinea";"Scalo Romana (36)";14
"Guinea";"Vigentino - Q.re Fatima (38)";4
"Guinea";"Ronchetto delle Rane (40)";1
"Guinea";"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";1
"Guinea";"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";2
"Guinea";"Moncucco - San Cristoforo (45)";2
"Guinea";"Giambellino (49)";3
"Guinea";"Porta Magenta (51)";1
"Guinea";"Bande Nere (52)";5
"Guinea";"Lorenteggio (53)";1
"Guinea";"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";5
"Guinea";"Forze Armate (56)";9
"Guinea";"San Siro (57)";8
"Guinea";"Stadio - Ippodromi (60)";1
"Guinea";"Quinto Romano (62)";1
"Guinea";"Figino (63)";1
"Guinea";"Trenno (64)";2
"Guinea";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";8
"Guinea";"Ghisolfa (70)";1
"Guinea";"Villapizzone - Cagnola - Boldinasco (71)";7
"Guinea";"Quarto Oggiaro - Vialba - Musocco (76)";10
"Guinea";"Bovisa (77)";2
"Guinea";"Farini (78)";1
"Guinea";"Dergano (79)";5
"Guinea";"Affori (80)";4
"Guinea";"Bovisasca (81)";1
"Guinea";"Bruzzano (83)";1
"Guinea Bissau";"Brera (2)";2
"Guinea Bissau";"Porta Ticinese - Conca del Naviglio (6)";1
"Guinea Bissau";"Isola (11)";2
"Guinea Bissau";"Maciachini - Maggiolina (12)";1
"Guinea Bissau";"Gorla - Precotto (16)";1
"Guinea Bissau";"Adriano (17)";1
"Guinea Bissau";"Loreto - Casoretto - NoLo (20)";2
"Guinea Bissau";"Parco Forlanini - Cavriano (24)";8
"Guinea Bissau";"Umbria - Molise - Calvairate (28)";3
"Guinea Bissau";"Taliedo - Morsenchio - Q.re Forlanini (30)";1
"Guinea Bissau";"Monlue' - Ponte Lambro (31)";3
"Guinea Bissau";"Rogoredo - Santa Giulia (33)";1
"Guinea Bissau";"Lodi - Corvetto (35)";6
"Guinea Bissau";"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";3
"Guinea Bissau";"Giambellino (49)";1
"Guinea Bissau";"Porta Magenta (51)";1
"Guinea Bissau";"Ghisolfa (70)";1
"Guinea Bissau";"Villapizzone - Cagnola - Boldinasco (71)";1
"Guinea Equatoriale";"Brera (2)";1
"Kenya";"Duomo (1)";4
"Kenya";"Brera (2)";4
"Kenya";"Magenta - S.Vittore (7)";2
"Kenya";"Porta Garibaldi - Porta Nuova (9)";3
"Kenya";"Isola (11)";2
"Kenya";"Greco - Segnano (13)";1
"Kenya";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";7
"Kenya";"Gorla - Precotto (16)";1
"Kenya";"Adriano (17)";2
"Kenya";"Cimiano - Rottole - Q.re Feltre (18)";1
"Kenya";"Padova - Turro - Crescenzago (19)";4
"Kenya";"Loreto - Casoretto - NoLo (20)";4
"Kenya";"Buenos Aires - Porta Venezia - Porta Monforte (21)";8
"Kenya";"Citta' studi (22)";4
"Kenya";"Lambrate - Ortica (23)";2
"Kenya";"XXII Marzo (26)";5
"Kenya";"Umbria - Molise - Calvairate (28)";5
"Kenya";"Ortomercato (29)";2
"Kenya";"Taliedo - Morsenchio - Q.re Forlanini (30)";2
"Kenya";"Triulzo Superiore (32)";1
"Kenya";"Rogoredo - Santa Giulia (33)";2
"Kenya";"Lodi - Corvetto (35)";14
"Kenya";"Scalo Romana (36)";2
"Kenya";"Morivione (37)";2
"Kenya";"Vigentino - Q.re Fatima (38)";3
"Kenya";"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";1
"Kenya";"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";7
"Kenya";"Barona (46)";3
"Kenya";"Giambellino (49)";3
"Kenya";"Porta Genova (50)";1
"Kenya";"Porta Magenta (51)";1
"Kenya";"Bande Nere (52)";3
"Kenya";"Lorenteggio (53)";1
"Kenya";"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";1
"Kenya";"Forze Armate (56)";1
"Kenya";"San Siro (57)";4
"Kenya";"De Angeli - Monte Rosa (58)";1
"Kenya";"Quinto Romano (62)";1
"Kenya";"Figino (63)";12
"Kenya";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";1
"Kenya";"QT 8 (66)";2
"Kenya";"Portello (67)";1
"Kenya";"Pagano (68)";1
"Kenya";"Sarpi (69)";2
"Kenya";"Ghisolfa (70)";2
"Kenya";"Villapizzone - Cagnola - Boldinasco (71)";4
"Kenya";"Cascina Merlata (73)";1
"Kenya";"Quarto Oggiaro - Vialba - Musocco (76)";4
"Kenya";"Bovisa (77)";1
"Kenya";"Dergano (79)";5
"Kenya";"Affori (80)";3
"Lesotho";"Giambellino (49)";1
"Liberia";"Brera (2)";2
"Liberia";"Porta Vigentina - Porta Lodovica (5)";1
"Liberia";"Porta Ticinese - Conca del Naviglio (6)";1
"Liberia";"Magenta - S.Vittore (7)";1
"Liberia";"Isola (11)";1
"Liberia";"Greco - Segnano (13)";1
"Liberia";"Adriano (17)";1
"Liberia";"Padova - Turro - Crescenzago (19)";2
"Liberia";"Buenos Aires - Porta Venezia - Porta Monforte (21)";1
"Liberia";"Parco Forlanini - Cavriano (24)";3
"Liberia";"Monlue' - Ponte Lambro (31)";1
"Liberia";"Rogoredo - Santa Giulia (33)";1
"Liberia";"Lodi - Corvetto (35)";1
"Liberia";"Scalo Romana (36)";1
"Liberia";"Porta Ticinese - Conchetta (44)";1
"Liberia";"Bande Nere (52)";1
"Liberia";"Forze Armate (56)";1
"Liberia";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";1
"Liberia";"Villapizzone - Cagnola - Boldinasco (71)";1
"Libia";"Duomo (1)";1
"Libia";"Brera (2)";2
"Libia";"Guastalla (4)";3
"Libia";"Porta Ticinese - Conca del Naviglio (6)";5
"Libia";"Magenta - S.Vittore (7)";1
"Libia";"Porta Garibaldi - Porta Nuova (9)";1
"Libia";"Isola (11)";3
"Libia";"Maciachini - Maggiolina (12)";3
"Libia";"Greco - Segnano (13)";2
"Libia";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";5
"Libia";"Bicocca (15)";4
"Libia";"Gorla - Precotto (16)";3
"Libia";"Adriano (17)";2
"Libia";"Cimiano - Rottole - Q.re Feltre (18)";1
"Libia";"Padova - Turro - Crescenzago (19)";8
"Libia";"Loreto - Casoretto - NoLo (20)";8
"Libia";"Buenos Aires - Porta Venezia - Porta Monforte (21)";3
"Libia";"Citta' studi (22)";2
"Libia";"Parco Forlanini - Cavriano (24)";8
"Libia";"XXII Marzo (26)";4
"Libia";"Ortomercato (29)";1
"Libia";"Taliedo - Morsenchio - Q.re Forlanini (30)";3
"Libia";"Monlue' - Ponte Lambro (31)";4
"Libia";"Lodi - Corvetto (35)";10
"Libia";"Scalo Romana (36)";4
"Libia";"Morivione (37)";1
"Libia";"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";1
"Libia";"Barona (46)";3
"Libia";"Porta Magenta (51)";1
"Libia";"Lorenteggio (53)";2
"Libia";"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";3
"Libia";"Forze Armate (56)";1
"Libia";"San Siro (57)";4
"Libia";"Stadio - Ippodromi (60)";2
"Libia";"Figino (63)";8
"Libia";"Trenno (64)";2
"Libia";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";7
"Libia";"Sarpi (69)";1
"Libia";"Villapizzone - Cagnola - Boldinasco (71)";3
"Libia";"Quarto Oggiaro - Vialba - Musocco (76)";5
"Libia";"Dergano (79)";4
"Libia";"Affori (80)";3
"Libia";"Comasina (82)";1
"Madagascar";"Duomo (1)";1
"Madagascar";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";1
"Madagascar";"Adriano (17)";3
"Madagascar";"Padova - Turro - Crescenzago (19)";1
"Madagascar";"Loreto - Casoretto - NoLo (20)";1
"Madagascar";"Buenos Aires - Porta Venezia - Porta Monforte (21)";1
"Madagascar";"Parco Forlanini - Cavriano (24)";1
"Madagascar";"Vigentino - Q.re Fatima (38)";1
"Madagascar";"Bande Nere (52)";11
"Madagascar";"Forze Armate (56)";1
"Madagascar";"Villapizzone - Cagnola - Boldinasco (71)";2
"Madagascar";"Quarto Oggiaro - Vialba - Musocco (76)";1
"Madagascar";"Bovisa (77)";1
"Madagascar";"Bruzzano (83)";1
"Malawi";"Corsica (25)";1
"Malawi";"Cantalupa (47)";1
"Mali";"Brera (2)";15
"Mali";"Porta Vigentina - Porta Lodovica (5)";1
"Mali";"Porta Ticinese - Conca del Naviglio (6)";9
"Mali";"Magenta - S.Vittore (7)";4
"Mali";"Stazione Centrale - Ponte Seveso (10)";1
"Mali";"Isola (11)";2
"Mali";"Maciachini - Maggiolina (12)";6
"Mali";"Greco - Segnano (13)";13
"Mali";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";3
"Mali";"Bicocca (15)";2
"Mali";"Gorla - Precotto (16)";4
"Mali";"Adriano (17)";30
"Mali";"Cimiano - Rottole - Q.re Feltre (18)";1
"Mali";"Padova - Turro - Crescenzago (19)";8
"Mali";"Loreto - Casoretto - NoLo (20)";3
"Mali";"Buenos Aires - Porta Venezia - Porta Monforte (21)";11
"Mali";"Citta' studi (22)";1
"Mali";"Parco Forlanini - Cavriano (24)";71
"Mali";"Corsica (25)";1
"Mali";"XXII Marzo (26)";1
"Mali";"Pta Romana (27)";1
"Mali";"Umbria - Molise - Calvairate (28)";6
"Mali";"Taliedo - Morsenchio - Q.re Forlanini (30)";17
"Mali";"Monlue' - Ponte Lambro (31)";25
"Mali";"Rogoredo - Santa Giulia (33)";4
"Mali";"Lodi - Corvetto (35)";17
"Mali";"Scalo Romana (36)";32
"Mali";"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";9
"Mali";"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";1
"Mali";"Moncucco - San Cristoforo (45)";6
"Mali";"Barona (46)";3
"Mali";"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";2
"Mali";"Giambellino (49)";1
"Mali";"Bande Nere (52)";7
"Mali";"Lorenteggio (53)";1
"Mali";"Muggiano (54)";5
"Mali";"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";5
"Mali";"Forze Armate (56)";12
"Mali";"San Siro (57)";2
"Mali";"De Angeli - Monte Rosa (58)";3
"Mali";"Quarto Cagnino (61)";1
"Mali";"Trenno (64)";5
"Mali";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";13
"Mali";"Sarpi (69)";4
"Mali";"Villapizzone - Cagnola - Boldinasco (71)";5
"Mali";"Quarto Oggiaro - Vialba - Musocco (76)";14
"Mali";"Bovisa (77)";3
"Mali";"Dergano (79)";14
"Mali";"Affori (80)";11
"Mali";"Comasina (82)";1
"Mali";"Bruzzano (83)";1
"Mali";"Parco delle Abbazie (85)";3
"Marocco";"Duomo (1)";20
"Marocco";"Brera (2)";94
"Marocco";"Guastalla (4)";10
"Marocco";"Porta Vigentina - Porta Lodovica (5)";26
"Marocco";"Porta Ticinese - Conca del Naviglio (6)";137
"Marocco";"Magenta - S.Vittore (7)";59
"Marocco";"Porta Garibaldi - Porta Nuova (9)";9
"Marocco";"Stazione Centrale - Ponte Seveso (10)";61
"Marocco";"Isola (11)";70
"Marocco";"Maciachini - Maggiolina (12)";123
"Marocco";"Greco - Segnano (13)";43
"Marocco";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";241
"Marocco";"Bicocca (15)";47
"Marocco";"Gorla - Precotto (16)";77
"Marocco";"Adriano (17)";81
"Marocco";"Cimiano - Rottole - Q.re Feltre (18)";78
"Marocco";"Padova - Turro - Crescenzago (19)";256
"Marocco";"Loreto - Casoretto - NoLo (20)";222
"Marocco";"Buenos Aires - Porta Venezia - Porta Monforte (21)";121
"Marocco";"Citta' studi (22)";85
"Marocco";"Lambrate - Ortica (23)";27
"Marocco";"Parco Forlanini - Cavriano (24)";10
"Marocco";"Corsica (25)";41
"Marocco";"XXII Marzo (26)";48
"Marocco";"Pta Romana (27)";34
"Marocco";"Umbria - Molise - Calvairate (28)";212
"Marocco";"Ortomercato (29)";57
"Marocco";"Taliedo - Morsenchio - Q.re Forlanini (30)";185
"Marocco";"Monlue' - Ponte Lambro (31)";118
"Marocco";"Triulzo Superiore (32)";39
"Marocco";"Rogoredo - Santa Giulia (33)";73
"Marocco";"Chiaravalle (34)";13
"Marocco";"Lodi - Corvetto (35)";580
"Marocco";"Scalo Romana (36)";164
"Marocco";"Morivione (37)";35
"Marocco";"Vigentino - Q.re Fatima (38)";78
"Marocco";"Quintosole (39)";16
"Marocco";"Gratosoglio - Q.re Missaglia - Q.re Terrazze (41)";234
"Marocco";"Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata (42)";198
"Marocco";"Tibaldi (43)";81
"Marocco";"Porta Ticinese - Conchetta (44)";48
"Marocco";"Moncucco - San Cristoforo (45)";93
"Marocco";"Barona (46)";177
"Marocco";"Cantalupa (47)";4
"Marocco";"Ronchetto sul Naviglio - Q.re Lodovico il Moro (48)";105
"Marocco";"Giambellino (49)";287
"Marocco";"Porta Genova (50)";11
"Marocco";"Porta Magenta (51)";14
"Marocco";"Bande Nere (52)";109
"Marocco";"Lorenteggio (53)";74
"Marocco";"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";354
"Marocco";"Forze Armate (56)";362
"Marocco";"San Siro (57)";666
"Marocco";"De Angeli - Monte Rosa (58)";15
"Marocco";"Tre Torri (59)";2
"Marocco";"Stadio - Ippodromi (60)";54
"Marocco";"Quarto Cagnino (61)";33
"Marocco";"Quinto Romano (62)";35
"Marocco";"Figino (63)";16
"Marocco";"Trenno (64)";21
"Marocco";"Q.re Gallaratese - Q.re San Leonardo - Lampugnano (65)";222
"Marocco";"QT 8 (66)";15
"Marocco";"Portello (67)";4
"Marocco";"Pagano (68)";8
"Marocco";"Sarpi (69)";18
"Marocco";"Ghisolfa (70)";38
"Marocco";"Villapizzone - Cagnola - Boldinasco (71)";268
"Marocco";"Maggiore - Musocco - Certosa (72)";40
"Marocco";"Cascina Merlata (73)";110
"Marocco";"Roserio (74)";6
"Marocco";"Stephenson (75)";1
"Marocco";"Quarto Oggiaro - Vialba - Musocco (76)";444
"Marocco";"Bovisa (77)";119
"Marocco";"Farini (78)";34
"Marocco";"Dergano (79)";126
"Marocco";"Affori (80)";113
"Marocco";"Bovisasca (81)";37
"Marocco";"Comasina (82)";31
"Marocco";"Bruzzano (83)";109
"Marocco";"Parco dei Navigli (86)";12
"Marocco";"Parco Bosco in citta' (88)";13
"Mauritania";"Brera (2)";2
"Mauritania";"Porta Vigentina - Porta Lodovica (5)";1
"Mauritania";"Magenta - S.Vittore (7)";1
"Mauritania";"Stazione Centrale - Ponte Seveso (10)";1
"Mauritania";"Isola (11)";1
"Mauritania";"Maciachini - Maggiolina (12)";2
"Mauritania";"Niguarda - Ca’ Granda - Prato Centenaro - Q.re Fulvio Testi (14)";1
"Mauritania";"Gorla - Precotto (16)";3
"Mauritania";"Adriano (17)";5
