"NIL (Nuclei di Identità Locale)";"Anno evento";"Nati"
"Porta Genova (50)";"2012";121
"Porta Genova (50)";"2013";128
"Porta Genova (50)";"2014";106
"Porta Genova (50)";"2015";101
"Porta Genova (50)";"2016";127
"Porta Genova (50)";"2017";113
"Porta Genova (50)";"2018";112
"Porta Genova (50)";"2019";110
"Porta Genova (50)";"2020";113
"Porta Genova (50)";"2021";107
"Porta Genova (50)";"2022";104
"Porta Genova (50)";"2023";101
"Porta Magenta (51)";"2003";273
"Porta Magenta (51)";"2004";296
"Porta Magenta (51)";"2005";244
"Porta Magenta (51)";"2006";234
"Porta Magenta (51)";"2007";247
"Porta Magenta (51)";"2008";236
"Porta Magenta (51)";"2009";241
"Porta Magenta (51)";"2010";213
"Porta Magenta (51)";"2011";240
"Porta Magenta (51)";"2012";235
"Porta Magenta (51)";"2013";216
"Porta Magenta (51)";"2014";221
"Porta Magenta (51)";"2015";221
"Porta Magenta (51)";"2016";197
"Porta Magenta (51)";"2017";211
"Porta Magenta (51)";"2018";185
"Porta Magenta (51)";"2019";205
"Porta Magenta (51)";"2020";179
"Porta Magenta (51)";"2021";193
"Porta Magenta (51)";"2022";170
"Porta Magenta (51)";"2023";190
"Bande Nere (52)";"2003";406
"Bande Nere (52)";"2004";372
"Bande Nere (52)";"2005";395
"Bande Nere (52)";"2006";359
"Bande Nere (52)";"2007";362
"Bande Nere (52)";"2008";347
"Bande Nere (52)";"2009";338
"Bande Nere (52)";"2010";323
"Bande Nere (52)";"2011";347
"Bande Nere (52)";"2012";321
"Bande Nere (52)";"2013";317
"Bande Nere (52)";"2014";337
"Bande Nere (52)";"2015";332
"Bande Nere (52)";"2016";357
"Bande Nere (52)";"2017";340
"Bande Nere (52)";"2018";355
"Bande Nere (52)";"2019";317
"Bande Nere (52)";"2020";323
"Bande Nere (52)";"2021";305
"Bande Nere (52)";"2022";327
"Bande Nere (52)";"2023";298
"Lorenteggio (53)";"2003";116
"Lorenteggio (53)";"2004";143
"Lorenteggio (53)";"2005";106
"Lorenteggio (53)";"2006";107
"Lorenteggio (53)";"2007";101
"Lorenteggio (53)";"2008";107
"Lorenteggio (53)";"2009";94
"Lorenteggio (53)";"2010";89
"Lorenteggio (53)";"2011";87
"Lorenteggio (53)";"2012";81
"Lorenteggio (53)";"2013";91
"Lorenteggio (53)";"2014";98
"Lorenteggio (53)";"2015";78
"Lorenteggio (53)";"2016";110
"Lorenteggio (53)";"2017";109
"Lorenteggio (53)";"2018";118
"Lorenteggio (53)";"2019";124
"Lorenteggio (53)";"2020";98
"Lorenteggio (53)";"2021";115
"Lorenteggio (53)";"2022";117
"Lorenteggio (53)";"2023";110
"Muggiano (54)";"2003";25
"Muggiano (54)";"2004";44
"Muggiano (54)";"2005";44
"Muggiano (54)";"2006";53
"Muggiano (54)";"2007";50
"Muggiano (54)";"2008";43
"Muggiano (54)";"2009";53
"Muggiano (54)";"2010";35
"Muggiano (54)";"2011";49
"Muggiano (54)";"2012";45
"Muggiano (54)";"2013";32
"Muggiano (54)";"2014";39
"Muggiano (54)";"2015";27
"Muggiano (54)";"2016";29
"Muggiano (54)";"2017";22
"Muggiano (54)";"2018";17
"Muggiano (54)";"2019";24
"Muggiano (54)";"2020";19
"Muggiano (54)";"2021";16
"Muggiano (54)";"2022";17
"Muggiano (54)";"2023";19
"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";"2003";287
"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";"2004";276
"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";"2005";239
"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";"2006";263
"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";"2007";265
"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";"2008";246
"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";"2009";222
"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";"2010";254
"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";"2011";230
"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";"2012";237
"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";"2013";229
"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";"2014";237
"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";"2015";224
"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";"2016";216
"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";"2017";219
"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";"2018";220
"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";"2019";199
"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";"2020";164
"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";"2021";201
"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";"2022";199
"Baggio - Q.re degli Olmi - Q.re Valsesia (55)";"2023";189
"Forze Armate (56)";"2003";204
"Forze Armate (56)";"2004";202
"Forze Armate (56)";"2005";192
"Forze Armate (56)";"2006";203
"Forze Armate (56)";"2007";193
